Key,Name,Type,Enum/CodeSet,Description,Security/Part‑2,Source/Owner
SDE.CRC.RUNNOTE.LAST_UPDATED_TS,Last Updated Timestamp,TS,,Timestamp of latest SSOT edit,View: CRC; Edit: authorized staff,SmartForm
SDE.CRC.RUNNOTE.ASSESSMENT_TS,Assessment Timestamp,TS,,Timestamp of LOC/ASAM used for SSOT prefill,View: CRC; Edit: authorized staff,SmartForm/Assessment
SDE.CRC.RUNNOTE.PLACEMENT_NEEDED,Placement Needed,Enum,Y|N,Whether placement is being pursued,View: CRC; Edit: CRC,SmartForm
SDE.CRC.RUNNOTE.MAT_NEEDS,MAT Needs,Enum,None|MethadoneInduction|MethadoneContinue|SuboxoneInduction|SuboxoneContinue|DetoxOnly,Medication‑assisted treatment status,View: CRC; Edit: CRC,SmartForm
SDE.CRC.RUNNOTE.ASAM_REQUESTED,ASAM Level Requested,Code,0.5|1.0|2.1|2.5|3.1|3.7|4.0,Requested level of care per ASAM,View: CRC; Edit: CRC,SmartForm/Assessment
SDE.CRC.RUNNOTE.ASAM_MATCHED,ASAM Matched,Enum,Y|N,Selected facility matches requested ASAM,View: CRC; Edit: Rules,Rule/SmartForm
SDE.CRC.RUNNOTE.ASAM_MISMATCH_REASON,ASAM Mismatch Reason,Text,,Reason when ASAM not matched (FacilityDoesNotSupportLevel|RequiresHigherAcuity|302Mismatch|PayerNetwork|HigherLevelAvailable|Other),View: CRC; Edit: Rules,Rule/SmartForm
SDE.CRC.RUNNOTE.MEDICAL_ACUITY_REQUIRED,Medical Acuity Required,Enum,Low|Moderate|High,Medical acuity required at receiving facility,View: CRC; Edit: CRC,SmartForm
SDE.CRC.RUNNOTE.BEHAVIORAL_ACUITY_REQUIRED,Behavioral Acuity Required,Enum,None|Observation|Acute|Secure,Behavioral health stabilization need,Restricted (Part‑2/security),SmartForm
SDE.CRC.RUNNOTE.BEHAVIORAL_MISMATCH_REASON,Behavioral Mismatch Reason,Text,,Reason when behavioral acuity not met,Restricted (Part‑2/security),Rule/SmartForm
SDE.CRC.RUNNOTE.CO_OCCURRING_SMI,Co‑Occurring SMI,Enum,Y|N,Known serious mental illness requiring dual‑capable facility,View: CRC; Edit: CRC,SmartForm
SDE.CRC.RUNNOTE.BH_MED_INITIATION_NEEDED,BH Med Initiation Needed,Enum,Y|N,Need to initiate behavioral health meds during placement,View: CRC; Edit: CRC,SmartForm
SDE.CRC.RUNNOTE.302_REQUIRED,302 (Involuntary) Required,Enum,Y|N,Whether 302 applies,Restricted (Part‑2/security),SmartForm
SDE.CRC.RUNNOTE.302_STATUS,302 Status,Enum,NotApplicable|Petitioned|Approved|Active|Discontinued,Current 302 status,Restricted (Part‑2/security),SmartForm
SDE.CRC.RUNNOTE.FACILITY_SELECTED_ID,Facility Selected ID,Code,,Chosen facility identifier,View: CRC; Edit: CRC,SmartForm/Finder
SDE.CRC.RUNNOTE.FACILITY_SELECTED_TS,Facility Selected Timestamp,TS,,When the facility was selected,View: CRC; Edit: CRC,SmartForm/Finder
SDE.CRC.RUNNOTE.REASSESS_FLAG,Reassess Required Flag,Enum,Y|N,Flag set when tox posts after assessment,Restricted (Part‑2/security),Rule/BPA
SDE.CRC.RUNNOTE.REASSESS_REASON,Reassess Reason,Text,,Reason why reassessment required,Restricted (Part‑2/security),Rule/BPA
SDE.CRC.RUNNOTE.OVERRIDE_USED,Override Used,Enum,Y|N,Whether selection required override,View: CRC; Edit: CRC,Rule/SmartForm
SDE.CRC.RUNNOTE.OVERRIDE_REASON,Override Reason,Text,,Why the override was used,View: CRC; Edit: CRC,Rule/SmartForm
SDE.CRC.RUNNOTE.OVERRIDE_USER_ID,Override User ID,User,,Who performed the override,View: CRC; Edit: CRC,Rule/SmartForm
SDE.CRC.TOX.NEW_RESULT_AFTER_ASSESS,New Tox After Assessment,Enum,Y|N,Any new relevant tox result posted after assessment,Restricted (Part‑2/security),Rule/BPA
SDE.CRC.TOX.UDS_POS_LIST,UDS Positive List,Codes,,List of positive analytes (screen/confirm aware),Restricted (Part‑2/security),Lab/Rule
SDE.CRC.TOX.POS_BENZO,Benzodiazepine Positive,Enum,Y|N,Benzo screen/confirm positive,Restricted (Part‑2/security),Lab/Rule
SDE.CRC.TOX.BAC_VALUE,Blood Alcohol (BAC),Numeric,,BAC value (with units),Restricted (Part‑2/security),Lab/Rule
SDE.CRC.TOX.POS_FENTANYL,Fentanyl Positive,Enum,Y|N,Fentanyl screen/confirm positive (if available),Restricted (Part‑2/security),Lab/Rule
SDE.CRC.TOX.POS_XYLAZINE,Xylazine Positive,Enum,Y|N,Xylazine result (if available),Restricted (Part‑2/security),Lab/Rule
